PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,label
-3.709767721615729,-7.179955879187531,-2.937483463890969,-1.1054764072288499,0.0600665637273609,-0.2811292789284968,-1.6238896938405987,-0.8398762466382645,0.3176267152244512,1.3457530945876042,normal
-5.389073300950851,2.1925779084699952,-10.335143880109198,3.8250611704910646,-7.581918473395344,-7.638368297113741,2.3871405216116375,-1.4049420729255988,-1.9980374638838312,1.4272357674641707,abnormal
0.9664971198733024,-8.015031768886088,-0.796561957367042,0.2939549241921944,-0.1830093710305721,-1.1892062336243268,2.9077261914772894,3.6628424955294143,0.11826028244245389,1.0782393484017,normal
-7.937567401815188,3.99640112899443,13.948370659998293,5.210394452056164,5.9262513649794055,-2.709054843245696,-6.8741616807756944,0.04931441913978145,-1.0424514847637563,0.882147875900168,normal
7.371925147688929,6.693760284971905,2.718477417509612,9.407091686656027,12.7151600208994,0.8167013638547218,-11.285283584827857,2.8004231248148574,2.2858524338004127,0.8285976990811166,normal
-1.4633480987583911,15.489944522003443,0.2449960921053041,2.0229473913994243,13.639203884150689,17.424611685894074,1.668949886725655,0.2969573517858185,-0.9889336080151185,-1.1412622152385405,normal
-1.863041025126152,9.562691908297975,11.00708168872509,-15.060978361859304,4.350890877263061,-2.061087347163016,1.5554254592796808,1.2553560423399515,-0.2425081202029533,0.4411824143164023,normal
6.09579805225103,12.635092801391258,-3.032816108938927,-11.06567209537584,4.185763574889924,16.880553152479155,0.07585163619912162,3.171378557138873,1.378987768596848,-1.8382371836027995,normal
-2.3982272804369655,4.911475871813518,-10.46342410977606,3.607631219947946,-8.230261950690041,-6.1730118192422605,-0.668644343402282,2.1911336996000537,-0.3494810070483282,-2.341061748729963,normal
-6.281008046707379,-10.863307853127342,-4.725021749244513,-2.1968334323355845,0.9592098224754491,-0.9754022055048119,-1.595589152200542,2.884531766432551,-0.8221782396929334,-1.547463070740833,abnormal
0.4683936169634333,-9.119292385228915,-1.4188194661668134,0.641836523426441,0.08828023406427425,-1.2647033022022682,2.921664848215117,2.422320155860644,-0.5299075433806275,1.9823044131675305,normal
15.389470678828278,-4.5982999665693916,1.76493940208625,1.4369773035991102,-0.3345763442354174,-0.9982086995809207,1.697462141140258,-3.442709907007702,-2.107085005221538,0.23241750989436316,abnormal
-5.90901321215355,-10.622890043980888,-4.790193611444987,-2.3004716442586752,1.0149649368890925,-0.9162570120004978,-2.0205959525221284,2.3840367614279585,-0.8244973229688407,-1.0046653973403703,abnormal
-6.289957134821007,-4.085382623221652,11.99447262987201,-5.511476968052166,-5.3091870642283325,-3.7528429715903853,-3.1741724113869023,-0.24264517411662853,-1.563201797114019,0.8883850409005889,normal
-4.24295022531226,1.1850825701162138,-4.009032842021432,-11.893035843273845,9.076109237504623,-0.3176930639605529,6.082389408127282,1.282810148712018,-0.8409751845404992,-0.6267143595192884,normal
-0.005079442090470245,-7.464549057018356,-2.9489973181132716,-1.4033341718931465,0.5237759747788419,0.7654556615129331,-2.2803275019990266,0.7146083362536393,-0.41874569440594533,-0.8292863913334669,normal
-9.605382556725894,6.5355484161987425,4.587959760644054,0.03358303817172504,-13.66668733247304,-9.570820694685954,0.23544711429889514,-1.7640093634859624,-1.7715786938893097,1.0676738359708877,normal
