filename,label,AX_mean,AX_std,AX_max,AX_min,AX_range,AX_skew,AX_kurtosis,AY_mean,AY_std,AY_max,AY_min,AY_range,AY_skew,AY_kurtosis,AZ_mean,AZ_std,AZ_max,AZ_min,AZ_range,AZ_skew,AZ_kurtosis,GX_mean,GX_std,GX_max,GX_min,GY_mean,GY_std,GY_max,GY_min,GZ_mean,GZ_std,GZ_max,GZ_min,VX_mean,VX_std,VX_max,VX_min,VX_range,VY_mean,VY_std,VY_max,VY_min,VY_range,DX_mean,DX_std,DX_max,DX_min,DX_total_change,DY_mean,DY_std,DY_max,DY_min,DY_total_change,duration,sample_count,open_close_ratio
device001_label_data_202502181136.xlsx,0,-0.001982797145835001,0.017339144413140013,0.08625169201830125,-0.1986000200248816,0.2848517120431829,-1.2691488825546877,14.571521217450613,0.00014981474721912017,0.026074058768277567,0.06818948216205856,-0.07455678787351361,0.14274627003557216,-0.018092776777040555,1.687548266927016,0.006384763267202277,0.010145510247598905,0.11541844648802543,-0.06538584088927696,0.1808042873773024,0.35512056086757016,12.211936572162791,0.004761106836576231,0.05640495934187503,0.3822589883919438,-0.6014843512605733,0.00951465582463537,0.11104244141662215,0.8299719736907195,-1.5073667355712086,-0.00171841366454989,0.09013156959938744,0.6451307753596309,-0.7805272076826734,-0.012434362630934144,0.030486199685981093,0.057169285754965354,-0.1740513934798322,0.23122067923479755,0.00295749885946935,0.07910951854464374,0.2143978088483502,-0.20400826635615504,0.41840607520450523,-0.0690127579786866,0.31264192311032085,0.06455667000567981,-3.4469759970072675,-0.35112983992451013,0.3856642168914688,1.3848124411276328,3.330735215534391,-2.527684507670366,3.330735215534391,1126.0,5631,1.0222222222222221
device002_label_data_202502191544.xlsx,0,-0.0016972590477031479,0.01591334906109313,0.08273623285900518,-0.0748419061774975,0.1575781390365027,0.11122463569665314,6.22611387812389,-2.777179610722694e-05,0.022765192272828003,0.0631637933211705,-0.06483106728030708,0.12799486060147758,-0.0359616419153696,1.9219284073161202,0.002861283054455162,0.010471715932958517,0.07428020200585259,-0.1374494775798978,0.2117296795857504,-1.652881738709608,24.211968112189126,-0.00465810241212722,0.05992814471019655,0.6626993523691802,-0.4738269001079504,0.002845142851081396,0.18615666539300996,1.1859822370588724,-1.780744925628445,-0.009351891439034055,0.08103224297867664,0.6296890158629097,-0.6504674072535701,-0.0074460368737978705,0.018841852973176008,0.054980232795655094,-0.09921794993392441,0.1541981827295795,0.0014533678875268325,0.07050318758402578,0.15935598658769468,-0.15197431954643764,0.3113303061341323,-0.023251440760419465,0.07952572824674443,0.12287805771647008,-0.6225395663123484,-0.2626040298120805,1.6474004227823837,1.0197918288159293,3.716315415277878,0.0,1.3548295447525136,932.0,4661,0.975
device003_label_data_202502181537.xlsx,0,-0.000651946088273134,0.01610266374918402,0.14070741309285434,-0.19863115491186575,0.33933856800472006,-1.7265184669423852,24.559337710519515,-0.00011178534595437951,0.008562557653499505,0.04752964756789457,-0.051451672209924526,0.0989813197778191,-0.011323060034574218,2.8381111961893715,0.012997269602490005,0.020585552535665706,0.19642758305439809,-0.1554389688387708,0.3518665518931689,-0.16285120314405405,13.258457725564522,0.005861774348219076,0.23300675308820418,2.652812497548228,-2.6226129639719966,0.0015264505754777674,0.19430022383812764,2.4156589638299084,-2.0663841085761057,-0.0006224889833073724,0.09465941903403587,0.9068163142134749,-1.2169974125508758,-0.0033172224973059233,0.028516695542631344,0.10746575438933416,-0.14737881453898594,0.2548445689283201,-0.0007759779940465566,0.0261353105476469,0.07790440426769249,-0.08121775432740763,0.15912215859510012,-0.012729152447826296,0.2203619295677665,1.6096092011246141,-1.5946663285012674,0.19974394934966927,-0.554928925360167,1.2974239239909775,2.030406898786397,-2.8136686401686553,-1.3387172353291308,1725.0,8626,0.9767441860465116
device004_正常_202502251127_marked.xlsx,0,0.004463996590174909,0.014403072104936214,0.08708050316774014,-0.07840366641898505,0.16548416958672518,-0.004492390276244966,7.571109038478477,-7.887747498040194e-05,0.0100916809480431,0.033016517761467745,-0.03536473104919147,0.06838124881065921,0.04050948264710617,1.9097675172607542,-0.0008734844609242776,0.008533242267859238,0.0723701312550482,-0.0873193285112638,0.159689459766312,-0.28645748750149685,12.165508769472494,0.011034308030478298,0.08473975371460958,0.5168101757790415,-0.4751252002352522,0.0071744679569761575,0.1845321799643055,1.218814822619998,-1.524542385262362,-0.0014351243913028329,0.11432382707108471,0.6955304195498191,-0.7619569026504178,0.03609548879879938,0.04655127213224995,0.19150439387017312,-0.030396102339176254,0.22190049620934937,-0.0011695008538462662,0.023569398584067557,0.09586318124249175,-0.09165443348722611,0.18751761472971787,0.2129614479204855,0.3493837141817514,2.0597413267916407,-0.044329851528500275,1.528722657509648,-0.9822778902906035,0.6277373528037679,0.3764325942493115,-2.001333436368289,-1.4469064563786063,1237.0,6186,0.975609756097561
device005_正常_202502281414_marked.xlsx,0,-0.0015145779697916708,0.01333070345151612,0.0848073306030552,-0.08552313827475086,0.17033046887780606,-0.3965319040959465,8.022843321343334,-0.00039983886004039867,0.011617381962704607,0.05670615813104829,-0.10162975278645292,0.1583359109175012,-0.14270226367789415,6.1421621568581966,0.005587702084889823,0.013653188155537328,0.24890430664280477,-0.1484918638905322,0.397396170533337,2.4470913255520683,65.60207999803853,-0.0038727653737601264,0.09760498220969531,0.9881656266763755,-1.0134790895597496,0.010393080148448013,0.18590097789504853,2.269627115700542,-1.935432164240533,0.005603109149906505,0.08503900746552656,0.7758859957526784,-0.959958706130758,-0.022878775565941676,0.04902495168131004,0.08057331527791446,-0.22617851799325803,0.3067518332711725,-0.00600485647511659,0.04659189735945918,0.12118546086394198,-0.1307205318481827,0.25190599271212466,-1.1470720275110933,3.9823897253002722,0.3126170903848432,-26.158329137416313,-0.1298174086270829,-5.294125193130106,3.5007121069407177,0.942187187514467,-13.035789624265353,-12.209074185207069,2033.0,10166,1.0512820512820513
device006_正常_1_202503031156_marked.xlsx,0,0.002462535121807525,0.014168130700551663,0.09405269000255351,-0.060622247714377374,0.1546749377169309,0.2633242601011158,6.665124399908254,-0.00011272293921840805,0.018170870369515715,0.053626853010729336,-0.05401884053778838,0.10764569354851772,0.02767842729565787,3.2869243057793884,-0.006164325694726748,0.004665075088149397,0.03051937410185095,-0.03210068682735018,0.06262006092920112,0.4735321763268023,9.139811077248101,-0.0022403123124747192,0.11600010204053536,1.0803005876601914,-0.9048056607725677,0.0075638614305161105,0.10189282690231291,0.8041909309139679,-0.6134655641825558,-0.00818802299004784,0.07542967898746097,0.4300399863824081,-0.6397177414076392,0.010982136089466688,0.02387028330528063,0.12305516933022594,-0.030399507421155166,0.1534546767513811,-0.00011807591733065212,0.030232790332776954,0.1042637329117253,-0.1070599371539796,0.2113236700657049,0.03317267483044396,0.08972481882648418,0.6203841095992195,-0.07888684536741047,0.4663744320269409,-0.08196823150418575,0.18628804526844292,0.30219056447933507,-0.42906895753221685,-0.057408511006163676,486.0,2431,0.9523809523809523
device006_正常_2_202503030920_marked.xlsx,0,0.003402479456254395,0.015516820183478953,0.10452534008641419,-0.08587316865384564,0.19039850874025982,0.5686279242746866,7.964127310154467,-0.0004232284174210441,0.019139059741432117,0.06103944345479251,-0.0608875433621181,0.12192698681691061,-0.011571577546547498,2.732973324595673,-0.006331463793742215,0.004661079266407496,0.03329186006195059,-0.032906631129808246,0.06619849119175883,0.7471821069969175,9.409098236790308,-0.007488919592637478,0.08547052377593921,0.362245032997365,-0.48893188707619994,0.0077422039403585155,0.09344908304144783,1.0474038145976816,-0.5236285636476076,0.003428780458863449,0.07819500935489482,0.4501313202792003,-0.6923187283175865,0.014131587707274637,0.026508178385744915,0.12170975755741785,-0.02934303054570403,0.1510527881031219,-0.0023876470148051984,0.03236675106902137,0.10851515493261044,-0.11173993901707163,0.22025509394968207,0.041970316227041164,0.10092877725265921,0.7122669802467014,-0.0365013922803502,0.4919766563131053,-0.5395898829448348,0.45727103024092436,0.26902183634607846,-1.2998811475829393,-1.055817509946858,442.0,2211,0.9523809523809523
device001_故障_关门不到位_202502201118.xlsx,1,-5.988754904617027e-19,0.02101955692772474,0.09554064889524218,-0.13813456273342983,0.233675211628672,-0.5910726975446168,9.437405634406788,0.9764886345595482,0.0045166717651877256,1.0129321825872593,0.9518023330423768,0.06112984954488243,0.6066795384390393,9.722449230524997,0.006561818784254499,0.012706093106474987,0.11752515780823139,-0.04786272401567902,0.1653878818239104,1.1282451786433225,11.178053746217653,-0.0034696154354564835,0.06837797897965764,0.7889892475792081,-0.29595382288921207,0.004066063376181581,0.14287151133855527,0.7892460556762342,-0.7550727438075426,-0.0010968898997479567,0.11930544490345349,0.6971406024732977,-0.9208933463179914,0.0,0.0,0.0,0.0,0.0,117.76256843012582,67.98086685393163,235.33376092885098,0.19326187443834852,235.14049905441263,0.0,0.0,0.0,0.0,0.0,9474.653442560213,8471.204785540676,28380.77899166032,0.038652374887669705,28380.740339285432,240.8,1205,0.0
device001_故障_开关门抖动_202502201123.xlsx,1,2.308155976351677e-19,0.023881017211595586,0.17420868421170863,-0.1528825366375894,0.32709122084929804,-0.5012080327224456,11.348558331591546,0.9766960305970523,0.02608415812366118,1.1961288643118089,0.865457452096621,0.3306714122151879,1.107762357106152,8.376185434750713,0.009678233811940573,0.1069952320220372,1.1725647229280134,-0.8724791798665099,2.0450439027945233,1.828524376368269,31.204913639761912,0.0034773550476344985,0.4462217739253263,4.406306155893955,-3.0356955052195946,0.04079035193322182,0.9054401929926341,7.985182273766846,-9.519821925128655,-0.006630512930491076,0.13714219122876609,0.7884602401654919,-1.2501812816029192,0.0,0.0,0.0,0.0,0.0,234.9060706772017,135.65310982489171,469.79079071718166,0.19580076693038834,469.59498995025126,0.0,0.0,0.0,0.0,0.0,37686.51857734093,33702.29097038052,112989.81999573401,0.03916015338607767,112989.78083558062,480.8,2405,0.0
device001_故障_开门不到位_202502201120.xlsx,1,1.5377050202564495e-18,0.020511218559612215,0.40852233327275905,-0.08584914492952517,0.4943714782022842,9.46866943551256,152.33980153272972,0.9769828456116166,0.01854786010429618,1.5175857939948112,0.9334672127529404,0.5841185812418708,22.985159488032103,584.229810330515,0.00699591338832427,0.03718880085422685,1.0901841017768934,-0.16919955516375065,1.259383656940644,23.480427521566288,629.2057535937737,-0.007699173318107421,0.1757153439498584,1.3608591927739437,-4.806308817479519,-0.016568652838590776,0.42100214421661963,1.3288342967366125,-11.635327900262649,-0.0019951429971644683,0.06975660883897676,0.9610920246864241,-0.5622000359915944,0.0,0.0,0.0,0.0,0.0,176.40924938790312,101.84242466920782,352.69080726579364,0.19462779244249645,352.49617947335116,0.0,0.0,0.0,0.0,0.0,21249.279732055787,19000.070334781856,63683.73902903296,0.038925558488499296,63683.70010347447,360.8,1805,0.0
device001_故障_运动抖动_202502201116.xlsx,1,1.6229173781895975e-18,0.017539531201032764,0.08505208721482047,-0.08259919322661394,0.1676512804414344,0.31233217384263856,6.055947111526937,0.9761530504030348,0.02615155489646831,1.0532710421022629,0.9016974176728815,0.15157362442938138,0.04514632129532825,1.7684417930224545,0.006271162899319656,0.018841598981850793,0.28342540907139563,-0.12298004366666819,0.40640545273806383,3.596570581569396,56.37095324138346,0.0034941046115511353,0.08700150200575,0.8837824295377334,-0.9117181116584744,-0.008011516293151893,0.17373220161120484,1.6148656056088755,-2.0026703452704093,-0.0059615761967123015,0.09250322370889212,0.5477726875212605,-0.6024185766300054,0.0,0.0,0.0,0.0,0.0,147.12954217431607,84.90702618146425,293.8220681713138,0.1926759727938544,293.62939219851995,0.0,0.0,0.0,0.0,0.0,14782.490867978342,13216.125958509296,44285.992194469065,0.038535194558770886,44285.953659274506,300.8,1505,0.0
